POCKET AI GUARDIAN -- COMPLETE PROJECT TASK SPLIT SHEET,,,,,,,,,,,,,
Vision AI Platform  |  Hardware-First Edge AI  |  Author: Youhana Sheriff  |  Last Updated: March 2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
Task ID,Phase,Milestone,Module,Task Name,Description,Assignee ,Support,Priority,Status,Start Date,Target Date,Dependencies,Notes / Risks
T-001,Pre-Phase,Architecture & Strategy,Platform Decision,Select core compute platform,Evaluated RDK X5 vs Qualcomm QCS6490; rejected RDK X5 due to power/thermal constraints; selected QCS6490 for edge AI portability.,Youhana,--,High,Done,Jan 2026,Jan 2026,--,"Decision documented in IDEOLOGY.md. QCS chosen for NPU/ISP, OTA support, thermal envelope."
T-002,Pre-Phase,Architecture & Strategy,AI Architecture Design,Define AI layer architecture,"Designed 3-layer AI architecture: Layer 1 (Core Perception - stable), Layer 2 (Contextual Intelligence - OTA), Layer 3 (Feedback & Assistance).",Youhana,--,High,Done,Jan 2026,Jan 2026,T-001,"Modular, OTA-updatable intelligence model. Core perception models prioritise safety & stability."
T-003,Pre-Phase,Architecture & Strategy,Modes of Operation,Define operating modes,"Defined 7 modes: Guardian, Assist, Activity (core) + Focus/Safety, Learning, Home Awareness, Drive Safety (add-on OTA).",Youhana,--,High,Done,Jan 2026,Jan 2026,T-002,Only one mode active at a time to manage power budget.
T-004,Pre-Phase,Architecture & Strategy,Hardware Packaging,Define physical form factor,"Defined Magnetic Guardian Puck: ~40x40 mm board, <5 mm thick, <20 g, passive cooling, USB-C + magnetic dock.",Youhana,--,Medium,Done,Jan 2026,Feb 2026,T-001,"Optional accessories: clip-on module (gym/sports), tabletop base, charging dock."
T-005,Pre-Phase,Architecture & Strategy,Camera Strategy,Define camera specification,"Defined single universal camera: 8-12 MP, 110-120 deg wide angle, fixed focus, MIPI CSI-2.",Youhana,--,Medium,Done,Jan 2026,Feb 2026,T-001,One camera simplifies supply chain and QA. Supports all modes.
T-006,Pre-Phase,Architecture & Strategy,Business Model,Define revenue & OTA strategy,Hardware sold once; intelligence evolves via OTA; optional premium features; no cloud dependency; privacy as core differentiator.,Youhana,--,Medium,Done,Jan 2026,Jan 2026,T-001,Documented in IDEOLOGY.md section 13.
T-007,Pre-Phase,Environment Setup,Dev Environment,Create Conda environment,"Created environment.yml (Python 3.12, all dependencies). Installed Miniforge via Homebrew for Apple Silicon compatibility.",Youhana,--,High,Done,Feb 2026,Feb 2026,--,Activation: conda activate pocket_ai.
T-008,Pre-Phase,Environment Setup,Dev Environment,Validate ML toolchain,"Confirmed Ultralytics YOLO11, ONNX runtime, Metal Performance Shaders (MPS) acceleration working on Apple Silicon.",Youhana,--,High,Done,Feb 2026,Feb 2026,T-007,Workers set to 0 for MPS optimisation. AMP enabled.
  PHASE 1,,,,,,,,,,,,,
T-009,Phase 1,1.1 Vision Model Stabilization,Vision Model - Layer 1,Select YOLO architecture for edge deployment,Evaluated YOLO11 family; selected YOLO11n (Nano) for sub-20 MB footprint and real-time edge inference on QCS class hardware.,Youhana,--,High,Done,Feb 2026,Feb 2026,T-008,YOLO11n: 5.49 MB final model size. Well within <20 MB target.
T-010,Phase 1,1.1 Vision Model Stabilization,Vision Model - Layer 1,Obtain IndoorObstacle Detection dataset,Acquired IndoorObstacle Detection v9i (YOLOv11 format) from Roboflow as primary training source for obstacle & person detection.,Youhana,--,High,Done,Feb 2026,Feb 2026,T-009,Dataset biased toward static/side-profile humans; ego-centric gap identified.
T-011,Phase 1,1.1 Vision Model Stabilization,Vision Model - Layer 1,1-epoch baseline validation run,"Ran 1-epoch preliminary training. Results: mAP@50=44.1%, Precision=30.4%, Recall=56.6%. Identified Walking Blind Spot failure mode.",Youhana,--,High,Done,02 Feb 2026,02 Feb 2026,T-010,Model feasibility confirmed. Accuracy insufficient for production.
T-012,Phase 1,1.1 Vision Model Stabilization,Vision Model - Layer 1,Recover from model weight deletion incident,Previous model weights were accidentally deleted. Training fully restarted from scratch on 5 Feb 2026.,Youhana,--,High,Done,05 Feb 2026,05 Feb 2026,T-011,Run ID: indoor_obstacle_yolo11n_150ep_20260205. Full recovery confirmed.
T-013,Phase 1,1.1 Vision Model Stabilization,Vision Model - Layer 1,Resolve GPU OOM crash during training,Batch size of 16 caused GPU memory exhaustion on M-series. Reduced to 8; training stabilised.,Youhana,--,High,Done,05 Feb 2026,05 Feb 2026,T-012,"Interim results at Epoch 57: mAP@50=75.4%, Precision=85.8%, Recall=61.5%."
T-014,Phase 1,1.1 Vision Model Stabilization,Vision Model - Layer 1,Complete full 150-epoch training run,"Full 150-epoch training on Apple Silicon (MPS). Final: mAP@50=74.72%, Precision=80.74%, Recall=68.40%, Model=5.49 MB.",Youhana,--,High,Done,07 Feb 2026,08 Feb 2026,T-013,Best checkpoint at Epoch 46 (mAP@50=80.03%). Cosine LR annealing; patience=30.
T-015,Phase 1,1.1 Vision Model Stabilization,Vision Model - Layer 1,Evaluate frontal Walking Blind Spot post-training,Independent evaluation of frontal-walking person detection. Recall improved to 68.40% but ego-centric gap not yet closed.,Youhana,--,High,In Progress,Feb 2026,Mar 2026,T-014,Dataset bias toward side-profile poses. JRDB/SCAND datasets being curated.
T-016,Phase 1,1.1 Vision Model Stabilization,Vision Model - Layer 1,Export YOLO model to ONNX format,Export trained YOLO11n weights (best.pt) to ONNX for cross-platform inference and Qualcomm edge deployment preparation.,Ryan,--,High,Done,Mar 2026,Mar 2026,T-014,Required before CoreML/TFLite/QCS export. Qualcomm-optimized ONNX target <15MB.
T-017,Phase 1,1.1 Vision Model Stabilization,Vision Model - Layer 1,INT8 quantization for QCS NPU,Quantize ONNX model to INT8 precision targeting Qualcomm QCS NPU. Validate accuracy drop < 2% mAP.,Ryan,--,High,To Do,Mar 2026,Apr 2026,T-016,Quantised model required for NPU/DSP execution on QCS6490.
T-018,Phase 1,1.1 Vision Model Stabilization,Vision Model - Layer 1,Export model to CoreML and TensorFlow Lite,Convert ONNX model to CoreML (Apple) and TFLite for benchmarking on target devices. Previous CoreML EP showed ~60% graph support.,Ryan,--,High,To Do,Mar 2026,Apr 2026,T-016,Full-model CoreML conversion needed. Benchmark inference on QCS6490.
T-019,Phase 1,1.1 Vision Model Stabilization,Vision Model - Layer 1,Qualcomm runtime validation,"Validate YOLO inference on QCS6490 NPU. Confirm model <15MB, 15-25 FPS, <600mW power.",Jerry,Youhana,High,To Do,Apr 2026,May 2026,T-018,"Success Criteria: Model <15MB, 15-25 FPS, <600mW."
T-020,Phase 1,1.2 Pipeline Integration & TTS,Vision Pipeline,Implement depth estimation pipeline,"Implemented Depth-Anything-V2-Small (INT8 ONNX, 26 MB). Added ~430 ms/frame latency; exceeded <200 ms budget. Disabled in orchestrator.",Youhana,--,High,Done,Feb 2026,Feb 2026,T-014,BB area heuristic used as fallback. CoreML EP rejected (5x slower).
T-021,Phase 1,1.2 Pipeline Integration & TTS,Vision Pipeline,Optimise depth inference to meet latency budget,"Target: <200 ms total pipeline. Approaches: async inference on alternating frames, smaller resolution, full-model CoreML.",Youhana,--,High,In Progress,Feb 2026,Apr 2026,T-020,Current: ~25 ms YOLO only. Depth adds ~430 ms. Needs 20x improvement.
T-022,Phase 1,1.2 Pipeline Integration & TTS,Vision Pipeline,Integrate real-time spoken audio feedback (TTS),Replaced pyttsx3 with native macOS say command. Latest-wins single-slot design; 2-sec cooldown on all classes.,Youhana,--,High,Done,Feb 2026,Feb 2026,T-014,"Files: pipeline/tts.py, pipeline/instructor.py. Stable, no speech truncation."
T-023,Phase 1,1.2 Pipeline Integration & TTS,Vision Pipeline,Evaluate higher-quality TTS alternatives,Evaluate Piper-TTS / Coqui TTS / Kokoro-82M as replacements for macOS say for naturalness and cross-platform support.,Ryan,Youhana,Medium,To Do,Mar 2026,Apr 2026,--,Required for production device (non-macOS). Piper-TTS: fast offline TTS.
T-024,Phase 1,1.2 Pipeline Integration & TTS,Vision Pipeline,Integrate offline TTS on QCS (<200MB RAM),Integrate selected TTS engine onto QCS6490 hardware within 200MB RAM budget. Validate latency and quality.,Ryan,Jerry,High,To Do,Apr 2026,May 2026,T-024,TTS must run fully offline on device. Memory budget strict.
T-025,Phase 1,1.2 Pipeline Integration & TTS,Vision Pipeline,Full end-to-end offline pipeline operational,"Live webcam to YOLO detection to spatial processing to spoken instructions + GUI preview. Fully offline, real-time. ~25 ms, ~40 FPS.",Youhana,--,High,Done,Feb 2026,13 Feb 2026,T-022,"Status PASS vs <200 ms target. Files: main.py, pipeline/orchestrator.py, config.py."
T-026,Phase 1,1.2 Pipeline Integration & TTS,Vision Pipeline,Template-based instruction engine,Build rule-based generator for contextual spoken instructions. Map detection outputs to natural-language templates.,"Youhana, Ryan",--,High,To Do,Mar 2026,Apr 2026,T-026,Generates spoken instructions from detection + spatial data.
T-027,Phase 1,1.2 Pipeline Integration & TTS,Vision Pipeline,Port MacBook pipeline to QCS,Port complete Python/C++ detection pipeline from MacBook M4 development to Qualcomm QCS6490 target hardware.,Ryan,Youhana,High,To Do,Apr 2026,May 2026,T-026,Python/C++ pipeline. Requires QCS dev kit and NPU SDK.
T-028,Phase 1,1.2 Pipeline Integration & TTS,Hardware Integration,Camera integration (MIPI CSI-2),Integrate and validate MIPI CSI-2 camera interface on QCS6490. Target 30 FPS capture.,Jerry,Raghul,High,To Do,Apr 2026,May 2026,T-026 (HW),"Camera: 8-12 MP, 110-120 deg wide angle, fixed focus."
T-029,Phase 1,1.2 Pipeline Integration & TTS,Hardware Integration,Audio subsystem (mic + speaker),Integrate microphone and speaker hardware on QCS6490 for TTS output and future voice input.,Jerry,"Raghul, Jovin",High,To Do,Apr 2026,May 2026,T-026 (HW),Required for spoken alerts and voice commands.
T-030,Phase 1,1.3 Data Engineering,Data Engineering,Download and curate JRDB dataset,"Download JRDB (JackRabbot Dataset). Filter with FiftyOne for frontal-view persons, ~1 m robot-height perspective, walking/approaching.",Youhana,--,High,In Progress,Feb 2026,Mar 2026,T-015,Priority: fills ego-centric gap. Robot-height POV matches Guardian Puck mounting.
T-031,Phase 1,1.3 Data Engineering,Data Engineering,Download and curate SCAND dataset,Download SCAND dataset (corridor & crowd walking scenarios). Filter for frontal-walking and crowd scenarios for blind navigation.,Youhana,--,High,In Progress,Feb 2026,Mar 2026,T-015,Complements JRDB. Focus on hallway and social navigation contexts.
T-032,Phase 1,1.3 Data Engineering,Data Engineering,Fine-tune YOLO11n with curated ego-centric data,Merge curated JRDB/SCAND samples with existing dataset. Fine-tune best.pt weights to eliminate Walking Blind Spot.,Youhana,--,High,To Do,Mar 2026,Apr 2026,"T-031, T-032",Quality over volume. Prioritise frontal-view approaching persons under indoor lighting.
T-033,Phase 1,1.3 Data Engineering,Data Engineering,Re-evaluate frontal-walking detection after fine-tuning,Run independent evaluation of fine-tuned model on ego-centric test set. Target: recall >= 80% for frontal-walking class.,Youhana,--,High,To Do,Apr 2026,Apr 2026,T-033,Compare against 68.40% baseline recall from 150-epoch run.
T-034,Phase 1,1.4 Modular Loader System,Model Management,Design model registry format (JSON),"Define JSON schema for model registry. Track model metadata, versions, compatibility, and mode assignments.",Youhana,--,High,To Do,Mar 2026,Apr 2026,T-002,registry.json schema for all AI models across modes.
T-035,Phase 1,1.4 Modular Loader System,Model Management,Mode-scoped model loading,Implement load/unload model mechanism scoped per operating mode. Only active mode models in memory.,Ryan,Youhana,High,To Do,Apr 2026,May 2026,T-036,Manages memory budget. Critical for power management.
T-036,Phase 1,1.4 Modular Loader System,Model Management,Hardware-aware runtime selector,"Auto-optimize model execution path based on QCS hardware capabilities (NPU, DSP, CPU fallback).",Ryan,--,High,To Do,Apr 2026,May 2026,T-037,Selects optimal backend for QCS6490.
T-037,Phase 1,1.4 Modular Loader System,Model Management,Model download manager (OTA),Secure over-the-air model download system with integrity checks and power-safe writes.,Marlen,Kavin,High,To Do,Apr 2026,May 2026,T-036,OTA must never corrupt existing models.
T-038,Phase 1,1.4 Modular Loader System,Model Management,Model versioning + rollback,Implement version tracking and safe rollback for all deployed models. Ensure core safety models cannot be downgraded to broken state.,Ryan,--,High,To Do,Apr 2026,May 2026,"T-037, T-039",Critical for production safety.
  PHASE 2,,,,,,,,,,,,,
T-039,Phase 2,2.1 QCS Dev Kit Setup,Hardware Platform,Acquire QCS6490 dev kit,Identify and procure QCS6490-based dev kit or RB5 equivalent for firmware/inference benchmarking.,Jerry,--,High,To Do,Mar 2026,Apr 2026,T-001,Critical path for all hardware validation tasks. Qualcomm SDK required.
T-040,Phase 2,2.1 QCS Dev Kit Setup,Hardware Platform,Board bring-up and OS flash,"Flash base Linux/QNX OS on QCS6490, configure boot, validate core peripherals.",Jerry,Raghul,High,To Do,Apr 2026,Apr 2026,T-041,Linux preferred for dev flexibility. QNX for production later.
T-041,Phase 2,2.1 QCS Dev Kit Setup,Hardware Platform,Validate MIPI camera interface,Verify 30 FPS capture from MIPI CSI-2 camera sensor on QCS6490 dev kit.,Jerry,Raghul,High,To Do,Apr 2026,Apr 2026,T-042,30 FPS minimum verified at target resolution.
T-042,Phase 2,2.1 QCS Dev Kit Setup,Hardware Platform,ISP tuning for wide-angle camera,"Tune Image Signal Processor pipeline for 110-120 deg wide-angle lens. Optimise exposure, white balance, distortion correction.",Jerry,Raghul,High,To Do,Apr 2026,May 2026,T-043,Wide-angle distortion affects detection accuracy at edges.
T-043,Phase 2,2.1 QCS Dev Kit Setup,Hardware Platform,Audio subsystem validation,Validate mic and speaker integration on QCS dev kit. Test audio I/O quality for TTS and future voice input.,Jerry,Jovin,High,To Do,Apr 2026,May 2026,T-042,Mic + speaker quality critical for Assist Mode alerts.
T-044,Phase 2,2.1 QCS Dev Kit Setup,Hardware Platform,Power profiling,Measure baseline power consumption for all subsystems. Document per-mode power budget.,Jerry,Raghul,Medium,To Do,Apr 2026,May 2026,T-042,Consumption report needed for battery sizing.
T-045,Phase 2,2.2 NPU Acceleration,Hardware Platform,Qualcomm SNPE/QNN SDK setup,Install and configure Qualcomm SNPE or QNN SDK for NPU inference toolchain on dev kit.,Jerry,Raghul,High,To Do,Apr 2026,May 2026,T-042,NPU tools required for all on-device inference.
T-046,Phase 2,2.2 NPU Acceleration,Hardware Platform,ONNX to DLC conversion pipeline,Build automated pipeline to convert ONNX models to Qualcomm DLC format for NPU execution.,Jerry,Raghul,High,To Do,May 2026,May 2026,T-048,Working flow from ONNX export to DLC deployment.
T-047,Phase 2,2.2 NPU Acceleration,Hardware Platform,NPU inference benchmarking,"Benchmark FPS, latency, and power draw of YOLO model on QCS6490 NPU. Compare CPU vs NPU.",Jerry,Raghul,High,To Do,May 2026,May 2026,T-049,"Target: 15-25 FPS, <200 ms latency, <600 mW."
T-048,Phase 2,2.2 NPU Acceleration,Hardware Platform,Thermal profiling (passive cooling),Profile thermal behaviour under sustained inference load. Validate <60 deg C with passive cooling only.,Jerry,--,Medium,To Do,May 2026,Jun 2026,T-050,No heatsink allowed. Must pass wearable safety thresholds.
T-049,Phase 2,2.3 Mechanical Design,Hardware Platform,Magnetic puck enclosure,"3D printed prototype of magnetic Guardian Puck enclosure. ~40x40 mm, <5 mm thick, passive cooling.",Jerry,Jovin,Medium,To Do,May 2026,Jun 2026,T-004,3D printed prototype for form factor validation.
T-050,Phase 2,2.3 Mechanical Design,Hardware Platform,Magnetic dock (charging),Design and prototype magnetic charging dock with USB-C connection.,Jerry,Jovin,Medium,To Do,May 2026,Jun 2026,T-052,Dock prototype for desk/home use.
T-051,Phase 2,2.3 Mechanical Design,Hardware Platform,Clip-on module (Activity),Design clip-on mount module for gym/sports Activity Mode use.,Jerry,Jovin,Medium,To Do,May 2026,Jun 2026,T-052,Must be stable during exercise movements.
T-052,Phase 2,2.3 Mechanical Design,Hardware Platform,Tabletop base design,Design desk/tabletop stand for stationary Guardian Mode use (home monitoring).,Jerry,Jovin,Medium,To Do,May 2026,Jun 2026,T-052,Desk stand for elder/child monitoring scenarios.
  PHASE 3,,,,,,,,,,,,,
T-053,Phase 3,3.1 Flutter App Framework,Mobile Companion App,App architecture design,"Define role of phone as companion (UI, notifications, connectivity) -- not intelligence host. Spec BLE/WiFi interface.",Marlen,Kavin,Medium,To Do,Apr 2026,May 2026,T-004,Phone is interface only. AI runs fully on device.
T-054,Phase 3,3.1 Flutter App Framework,Mobile Companion App,Flutter project scaffold,"Create base Flutter project structure, navigation, state management, and BLE service layer.",Marlen,Kavin,High,To Do,Apr 2026,May 2026,T-057,Base app structure for iOS/Android.
T-055,Phase 3,3.1 Flutter App Framework,Mobile Companion App,BLE pairing with QCS device,Implement Bluetooth Low Energy discovery and pairing flow between phone and Guardian Puck.,Marlen,Kavin,High,To Do,May 2026,May 2026,T-058,Discovery + secure pairing protocol.
T-056,Phase 3,3.1 Flutter App Framework,Mobile Companion App,Mode selection UI,"Build UI for switching between Guardian, Assist, Activity modes on the device via phone.",Marlen,Kavin,High,To Do,May 2026,Jun 2026,T-059,Mode switch triggers device reconfiguration over BLE.
T-057,Phase 3,3.1 Flutter App Framework,Mobile Companion App,Device status display,"Display real-time device status: battery level, temperature, active mode, connection status.",Marlen,Kavin,Medium,To Do,May 2026,Jun 2026,T-059,"Battery, temp, connection status UI."
T-058,Phase 3,3.2 Mode-Specific Features,Mobile Companion App,Guardian Mode: Alerts + history,Implement alert notification system and event history log for Guardian Mode (child/elder safety alerts).,Marlen,Kavin,High,To Do,May 2026,Jun 2026,T-060,"Push notifications for fall detection, inactivity alerts."
T-059,Phase 3,3.2 Mode-Specific Features,Mobile Companion App,Assist Mode: Live audio streaming,Stream spoken audio alerts from device to phone for Assist Mode (blind navigation support).,Marlen,Kavin,High,To Do,Jun 2026,Jun 2026,T-059,Audio relay from puck to phone speaker/earbuds.
T-060,Phase 3,3.2 Mode-Specific Features,Mobile Companion App,Activity Mode: Workout summaries,"Display rep counts, exercise form feedback, and workout session summaries from Activity Mode.",Marlen,Kavin,Medium,To Do,Jun 2026,Jul 2026,T-060,"Rep counts, form score, session duration."
T-061,Phase 3,3.2 Mode-Specific Features,Mobile Companion App,BLE HR monitor integration,Integrate external BLE heart rate monitor data into Activity Mode workout tracking.,Marlen,Kavin,Medium,To Do,Jun 2026,Jul 2026,T-065,HR zone coaching integration.
T-062,Phase 3,3.3 OTA & Configuration,Mobile Companion App,Model download via app,Enable OTA AI model updates to be downloaded and pushed to device through the companion app.,Marlen,Kavin,High,To Do,Jun 2026,Jul 2026,T-039,"Secure download, integrity verification, power-safe write."
T-063,Phase 3,3.3 OTA & Configuration,Mobile Companion App,Device configuration UI,"Build settings UI for device preferences: alert sensitivity, cooldown timers, mode defaults, audio volume.",Marlen,Kavin,Medium,To Do,Jun 2026,Jul 2026,T-060,Settings synced to device over BLE.
T-064,Phase 3,3.3 OTA & Configuration,Mobile Companion App,Usage analytics (opt-in),"Implement opt-in usage metrics collection: mode usage time, alert frequency, battery patterns.",Marlen,Kavin,Low,To Do,Jun 2026,Jul 2026,T-068,Privacy-first. All analytics opt-in only.
  PHASE 4,,,,,,,,,,,,,
T-065,Phase 4,4.1 Guardian Mode,AI Modes - Guardian,Define and spec Guardian Mode,"Spec always-on, low-power Guardian Mode: person detection, fall detection, inactivity detection, alert thresholds.",Youhana,--,High,To Do,Mar 2026,Apr 2026,T-014,Power target: 80-150 mW always-on. Core safety models must be conservative.
T-066,Phase 4,4.1 Guardian Mode,AI Modes - Guardian,Pose estimation model,Train/deploy pose estimation model for person detection and body keypoint extraction on QCS.,Youhana,--,High,To Do,May 2026,Jun 2026,T-071,Person + pose detection. Foundation for fall/inactivity detection.
T-067,Phase 4,4.1 Guardian Mode,AI Modes - Guardian,Fall detection logic,Implement algorithm to detect falls from pose estimation data. Rapid vertical-to-horizontal transition detection.,Ryan,Youhana,High,To Do,Jun 2026,Jul 2026,T-072,Critical safety feature. Must minimise false negatives.
T-068,Phase 4,4.1 Guardian Mode,AI Modes - Guardian,Inactivity detection,Implement alert logic for prolonged inactivity / no-movement detection for elder monitoring.,Ryan,Youhana,High,To Do,Jun 2026,Jul 2026,T-072,Configurable inactivity timeout thresholds.
T-069,Phase 4,4.1 Guardian Mode,AI Modes - Guardian,Child safety rules,"Implement context logic for child safety: restricted zone detection, absence alerts, stranger proximity.",Youhana,Ryan,High,To Do,Jun 2026,Jul 2026,T-072,Conservative detection. Safety-critical feature.
T-070,Phase 4,4.1 Guardian Mode,AI Modes - Guardian,Elder safety rules,"Implement detection rules for elder safety: fall alerts, prolonged floor contact, medication reminder triggers.",Youhana,Ryan,High,To Do,Jun 2026,Jul 2026,T-072,Linked to fall detection + inactivity logic.
T-071,Phase 4,4.2 Activity Mode,AI Modes - Activity,Define and spec Activity Mode,"Spec user-initiated Activity Mode: rep counting, exercise form guidance, sports motion metrics. Power: 700-1200 mW.",Youhana,--,Medium,To Do,Apr 2026,May 2026,T-014,Layer 2 OTA-updatable contextual AI. Requires pose estimation.
T-072,Phase 4,4.2 Activity Mode,AI Modes - Activity,YOLOv8n-pose INT8 for QCS,Deploy YOLOv8n-pose model quantized to INT8 on QCS6490 NPU for real-time exercise tracking.,Youhana,--,High,To Do,Jun 2026,Jul 2026,T-078,Pose model optimized for gym/sports scenarios.
T-073,Phase 4,4.2 Activity Mode,AI Modes - Activity,Repetition counting logic,Implement rep detection algorithm from pose keypoint trajectories for common exercises.,Ryan,Youhana,High,To Do,Jun 2026,Jul 2026,T-079,"Squat, pushup, curl, deadlift detection."
T-074,Phase 4,4.2 Activity Mode,AI Modes - Activity,Form correction rules,Implement exercise form analysis and spoken correction feedback based on joint angles.,Youhana,Ryan,High,To Do,Jul 2026,Aug 2026,T-080,Feedback via TTS. Joint angle thresholds per exercise.
T-075,Phase 4,4.2 Activity Mode,AI Modes - Activity,BLE HR zone integration,Integrate BLE heart rate monitor data for zone-based coaching and effort tracking.,Marlen,Kavin,Medium,To Do,Jul 2026,Aug 2026,T-080,HR zone coaching during workouts.
T-076,Phase 4,4.2 Activity Mode,Hardware Integration,Clip-on mount validation,Validate clip-on module attachment stability during gym exercises and sports movements.,Jerry,Jovin,Medium,To Do,Jul 2026,Jul 2026,T-054,Must not detach during vigorous movement.
T-077,Phase 4,4.3 Assist Mode,AI Modes - Assist,Define and spec Assist Mode,"Spec session-based Assist Mode: obstacle detection, path clearance, distance warnings, spatial audio instructions.",Youhana,--,High,To Do,Mar 2026,Apr 2026,"T-023, T-024",Highest collision-risk scenario. Blocked on depth + ego-centric data.
T-078,Phase 4,4.3 Assist Mode,AI Modes - Assist,Obstacle detection improvements,Improve obstacle detection accuracy with fine-tuned model and depth-assisted distance estimation.,Youhana,--,High,To Do,Jul 2026,Aug 2026,T-034,Better accuracy with ego-centric trained model.
T-079,Phase 4,4.3 Assist Mode,AI Modes - Assist,Scene understanding,Implement object classification and scene context analysis for richer navigation guidance.,Youhana,--,High,To Do,Jul 2026,Aug 2026,T-086,"Object classification beyond obstacles: doors, stairs, furniture."
T-080,Phase 4,4.3 Assist Mode,AI Modes - Assist,Navigation guidance,Generate richer spatial audio instructions based on scene understanding and obstacle map.,Youhana,Ryan,High,To Do,Jul 2026,Aug 2026,T-087,"Richer audio: directional guidance, path suggestions."
T-081,Phase 4,4.3 Assist Mode,AI Modes - Assist,Voice commands (Whisper.cpp),Integrate Whisper.cpp for offline speech-to-text. Enable hands-free voice control of device.,Ryan,--,High,To Do,Jul 2026,Aug 2026,T-027,Offline STT. Critical for blind/low-vision users.
T-082,Phase 4,4.3 Assist Mode,Vision Pipeline,Depth-assisted distance warnings,Integrate depth model output with YOLO bounding boxes for calibrated obstacle proximity warnings.,Youhana,--,High,To Do,Apr 2026,May 2026,"T-021, T-016",Blocked pending depth optimisation. Currently using BB area heuristic.
T-083,Phase 4,4.3 Assist Mode,Vision Pipeline,Audio feedback calibration,"Tune timing, wording, and cooldown logic of spoken alerts for blind/low-vision use.",Youhana,Ryan,Medium,To Do,May 2026,Jun 2026,"T-026, T-024",User testing required. Cooldown currently 2 seconds.
T-084,Phase 4,4.3 Assist Mode,Vision Pipeline,Performance benchmarking on QCS6490,"Run inference speed, power, and thermal benchmarks on QCS6490. Validate <200 ms latency and power targets.",Jerry,Youhana,High,To Do,May 2026,Jun 2026,T-018,"Target: <200 ms, 400-600 mW AI burst, 5.49 MB model."
  PHASE 5,,,,,,,,,,,,,
T-085,Phase 5,5.1 Focus & Safety Mode,AI Modes - Focus/Safety,Spec Focus & Safety add-on mode (OTA),"Define posture analysis, fatigue detection, productivity focus mode. OTA update post-launch.",Youhana,--,Low,To Do,Q3 2026,Q4 2026,T-027 (HW),Add-on OTA mode. Lower priority than core 3 modes.
T-086,Phase 5,5.1 Focus & Safety Mode,AI Modes - Focus/Safety,Posture detection model,"Train/deploy model for sitting/standing posture classification. Detect slouching, improper desk posture.",Youhana,--,Medium,To Do,Aug 2026,Sep 2026,T-094,Sitting/standing classification + posture quality.
T-087,Phase 5,5.1 Focus & Safety Mode,AI Modes - Focus/Safety,Fatigue estimation,Implement eye aspect ratio analysis for drowsiness/fatigue detection during focus sessions.,Ryan,Youhana,Medium,To Do,Sep 2026,Oct 2026,T-095,Eye aspect ratio. Break reminders.
T-088,Phase 5,5.1 Focus & Safety Mode,AI Modes - Focus/Safety,Focus session tracking,"Build focus session metrics: duration, posture score, break frequency, fatigue events.",Marlen,Kavin,Medium,To Do,Sep 2026,Oct 2026,T-095,Metrics displayed in companion app.
T-089,Phase 5,5.2 Drive Safety Mode,AI Modes - Drive Safety,Driver gaze detection,Train/deploy eye tracking model for driver gaze direction monitoring.,Youhana,--,Medium,To Do,Oct 2026,Nov 2026,T-094,Eye tracking for road attention monitoring.
T-090,Phase 5,5.2 Drive Safety Mode,AI Modes - Drive Safety,Distraction classification,"Classify driver distraction types: phone use, drowsiness, looking away from road.",Ryan,Youhana,Medium,To Do,Oct 2026,Nov 2026,T-099,Phone use/drowsiness classification.
T-091,Phase 5,5.2 Drive Safety Mode,Hardware Integration,Car mount accessory,Design vehicle mounting accessory for dashboard/visor placement.,Jerry,Jovin,Low,To Do,Nov 2026,Nov 2026,T-052,Vehicle mounting for drive safety mode.
  CROSS-PHASE,,,,,,,,,,,,,
T-092,Cross-Phase,OTA & Deployment,OTA & Deployment,OTA infrastructure design,"Design secure OTA delivery for Layer 2 model updates. Model versioning, rollback, power-safe update process.",Youhana,Ryan,Medium,To Do,May 2026,Jun 2026,T-027 (HW),OTA must never break core safety detection or thermal limits.
T-093,Cross-Phase,OTA & Deployment,OTA & Deployment,Model quantisation pipeline,Build ONNX to Qualcomm SNPE/QNN quantisation pipeline. Power-aware INT8. Validate accuracy drop < 2% mAP.,Youhana,Jerry,High,To Do,Apr 2026,May 2026,T-016,Quantised models required for NPU/DSP execution on QCS6490.
T-094,Cross-Phase,OTA & Deployment,OTA & Deployment,Real-world indoor field testing,"Test full pipeline in real indoor environments. Measure false-positive/negative rates, latency, user experience.",Youhana,All Team,High,To Do,Jun 2026,Jul 2026,"T-093, T-034",Critical validation before beta. Test all three core modes.
T-095,Cross-Phase,Validation,Hardware Platform,Power profile validation,"Measure power draw in all modes: always-on (80-150 mW), Guardian bursts (400-600 mW), Activity (700-1200 mW), peak (~1.5 W).",Jerry,Raghul,Medium,To Do,May 2026,Jun 2026,T-027 (HW),"Battery target: 1500-2000 mAh Li-Po, 10-14 hrs mixed use."
T-096,Cross-Phase,Validation,Hardware Platform,Thermal validation,"Confirm device within safe skin-contact temp limits under continuous load. Passive cooling only, wearable-safe.",Jerry,Raghul,Medium,To Do,May 2026,Jun 2026,T-027 (HW),No heatsink allowed. Must pass portable safety thresholds.